USER_ID,SITE_NAME,POSA_CONTINENT,USER_LOCATION_COUNTRY,USER_LOCATION_REGION
8,2,3,66,348
115,2,3,154,196
165,2,3,66,246
181,2,3,66,348
188,2,3,70,47
198,2,3,12,790
203,2,3,66,220
220,2,3,66,174
243,34,3,205,354
268,2,3,66,258
272,2,3,66,256
286,2,3,66,311
289,2,3,66,363
327,2,3,66,356
328,2,3,66,363
370,2,3,66,363
387,2,3,66,220
392,2,3,149,290
401,2,3,66,442
403,2,3,28,154
449,2,3,66,226
514,2,3,66,337
542,2,3,66,189
583,2,3,66,348
597,26,0,215,715
598,2,3,66,348
614,2,3,66,220
624,2,3,205,354
627,2,3,63,229
647,11,3,205,354
650,2,3,66,442
670,2,3,66,442
686,2,3,66,321
697,34,3,205,155
726,2,3,230,395
733,2,3,66,174
743,2,3,230,395
840,2,3,231,87
854,2,3,66,435
884,2,3,70,47
934,2,3,66,363
954,2,3,66,363
957,2,3,66,318
1006,2,3,3,50
1013,34,3,205,354
1030,11,3,205,354
1033,2,3,66,153
1044,2,3,66,447
1049,24,2,3,50
1050,11,3,205,135
1070,37,1,69,753
1119,2,3,66,348
1201,24,2,3,50
1219,23,1,1,318
1240,24,2,3,50|64
1242,24,2,3,65
1272,2,3,66,174
1313,8,4,77,401
1354,2,3,66,174
1357,2,3,186,405
1380,37,1,69,566
1381,24,2,3,50
1385,24,2,3,50
1416,8,4,77,824
1457,24,2,3,64
1462,28,1,66,442
1469,37,1,69,664
1481,23,1,1,388
1486,2,3,66,459
1497,24,2,3,50
1515,18,2,119,0
1519,24,2,231,48
1535,2,3,66,314
1550,2,3,66,174
1587,2,3,66,220
1615,15,1,55,23
1640,13,1,46,172
1645,15,1,55,23
1648,24,2,3,48
1651,22,2,0,203
1670,22,2,0,203
1676,2,3,66,174
1677,2,3,66,174
1682,37,1,69,904
1753,2,3,66,462
1754,2,3,66,348
1757,24,2,3,51
1761,24,2,3,64
1771,24,2,3,50
1784,24,2,3,60
1791,24,2,70,47
1793,28,1,68,335
1805,24,2,1|70,47|395
1835,2,3,69,691
1841,23,1,1,395
1853,37,1,69,761
1877,24,2,3,59
1880,24,2,3,64
1886,24,2,3,63
1895,2,3,66,311
1916,34,3,205,385
1922,24,2,3,38
1923,2,3,66,442
1927,2,3,66,174
1952,20,2,202,269
1958,24,2,3,64
1976,37,1,69,993
1980,11,3,66,536
1985,23,1,1,154
2018,8,4,70,47
2020,24,2,3,51
2032,37,1,69,1010
2045,2,3,66,471
2046,24,2,3,50
2057,24,2,3,50
2059,2,3,75,144
2060,24,2,3,51|67
2076,24,2,3,59
2084,28,1,52|66,42|404
2106,24,2,3,59
2107,2,3,66,314
2116,2,3,66,356
2121,17,1,63,167
2157,2,3,66,348
2158,24,2,3,50
2170,11,3,205,354
2180,2,3,66,149
2191,24,2,3,50
2194,2,3,66,348
2219,2,3,66,174
2244,37,1,69,812
2253,34,3,205,411
2317,2,3,209,187
2330,24,2,3,50
2338,24,2,3,64
2340,30,4,190,71
2377,24,2,3,65
2383,2,3,66,174|260
2387,28,1,68,330
2395,24,2,66,337
2400,37,1,69,866
2404,24,2,3,83
2407,24,2,3,50
2431,23,1,1,184
2436,24,2,3,73
2444,20,2,202,268
2446,15,1,55,373
2448,24,2,3,50
2459,28,1,68,447
2461,24,2,3,50
2464,23|24,1|2,1|3,50|219
2473,28,1,55,25
2474,24,2,3,50
2491,37,1,69,813
2495,2,3,28,154
2511,24,2,3,50
2512,35,2,70,49
2522,24,2,3,50
2531,2,3,66|133,20|311
2532,13,1,46,172
2545,24,2,3,50
2561,13,1,63,138
2583,24,2,3,50
2596,24,2,3,50
2609,24,2,3,48
2642,28,1,66,288
2651,24,2,3,50
2652,24,2,167,38
2658,20,2,202,268
2668,2,3,66,404
2670,13,1,46,336
2703,36,2,115,957
2712,2,3,66,220
2713,2,3,48,424
2722,2,3,66,363
2731,2,3,66,351
2741,17,1,168,47
2757,2,3,66,325
2792,2,3,66,331
2840,24,2,3,50
2857,2,3,66,174
2869,24,2,3,50
2877,24,2,3,50
2887,2,3,66,174
2892,2,3,66,363
2898,24,2,23,48
2901,28,1,68,335
2902,24,2,3,59
2907,28,1,68,335
2913,2,3,66,226
2916,24,2,3,51
2945,24,2,3,50
2956,2,3,66,174
2978,24,2,3,64
2983,2,3,66,311
2984,13,1,46,172
2995,37,1,69,733
2997,2,3,66,294
3004,24,2,3,50
3022,2,3,66,348
3070,2,3,66,318
3082,34,3,205,354
3087,2,3,66,143
